week,elite_cumulative_spend,first_quartile_cumulative_spend,notes
1,0.0,0.0,"Not in the appendix table (starts FAAB week 2). Treat as $0 spent."
2,88.0,61.0,"The Process 2025 Appendix p. 76 (Adam Warner). Elite = overall cashed (n=31). 1st quartile ≈ competitive / in-the-money league teams. Cumulative $ of a $1000 NFBC budget."
3,123.0,102.0,"2025 Appendix p. 76"
4,196.0,168.0,"2025 Appendix p. 76"
5,264.0,231.0,"2025 Appendix p. 76"
6,320.0,290.0,"2025 Appendix p. 76"
7,382.0,355.0,"2025 Appendix p. 76"
8,432.0,412.0,"2025 Appendix p. 76"
9,480.0,454.0,"2025 Appendix p. 76"
10,523.0,488.0,"2025 Appendix p. 76"
11,579.0,527.0,"2025 Appendix p. 76"
12,614.0,555.0,"2025 Appendix p. 76"
13,641.0,590.0,"2025 Appendix p. 76"
14,678.0,624.0,"2025 Appendix p. 76"
15,727.0,682.0,"2025 Appendix p. 76"
16,748.0,716.0,"2025 Appendix p. 76"
17,776.0,744.0,"2025 Appendix p. 76"
18,790.0,763.0,"2025 Appendix p. 76"
19,864.0,828.0,"2025 Appendix p. 76"
20,898.0,875.0,"Last week in the appendix sample (through one week past the trade deadline). Do not invent weeks 21–26."
